STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,,REF_AREA,,SECTOR,,COUNTERPART_SECTOR,,TRANSACTION,,INSTR_ASSET,,ACTIVITY,,EXPENDITURE,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,TABLE_IDENTIFIER,,TIME_PERIOD,,OBS_VALUE,,REF_YEAR_PRICE,,CONF_STATUS,,DECIMALS,,OBS_STATUS,,UNIT_MULT,,CURRENCY,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1974,,5763.839261,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1974,,5074.124845,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1975,,7261.291122,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1975,,6185.93526,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1975,,5463.392109,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1976,,8006.039296,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1976,,6893.93941,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1976,,5932.868155,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1977,,8701.626955,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1977,,7436.192188,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1977,,6459.362082,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1978,,9565.933831,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1978,,8117.418902,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1978,,7205.911495,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1964,,2563.492244,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1965,,2694.142395,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,AUS,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1966,,3275.594754,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1966,,3478.770791,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1966,,2834.567525,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1982,,10150.875881,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1983,,14034.005498,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1983,,12565.111171,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1983,,11786.7185,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1983,,19141.583839,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1983,,10988.924612,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1984,,15254.727065,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1984,,13584.403637,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1984,,12540.167781,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FRA,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1984,,12490.867961,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1984,,20356.024932,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1984,,11624.521996,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1985,,16332.753021,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1985,,14580.653635,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1985,,13340.021022,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1985,,21677.338302,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1985,,12457.483039,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1986,,16850.728641,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1986,,15576.6379,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1986,,13939.195887,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1986,,22389.133489,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1986,,13078.657528,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1987,,17735.380147,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1987,,16004.020444,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1987,,14752.022019,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FRA,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1987,,14182.451789,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1987,,23144.310983,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1987,,14094.967049,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1988,,18923.753758,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1988,,16592.071316,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1988,,16024.674345,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1988,,24551.221594,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1988,,15398.277953,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1989,,19763.483902,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1989,,17333.589965,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,FIN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1989,,17437.091254,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CHE,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1989,,26414.732845,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1989,,16368.109789,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1970,,4578.571353,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1970,,4245.855224,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1970,,3628.691647,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1971,,4939.774725,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1971,,4571.598021,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1971,,3925.37236,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1972,,5374.992803,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,DNK,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1972,,4927.864628,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,GBR,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1972,,4259.161277,,,,F,,1,,A,,0,,_Z,
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE1_EXPENDITURE_HCPC(2.0),,I,A,,CAN,,S1,,S1,,B1GQ_POP,,_Z,,_Z,,_Z,,USD_PPP_PS,,V,,N,,T0102,,1995,,23485.643444,,,,F,,1,,A,,0,,_Z,
